title,author,synopsis,goodreads,genre,language,amazon
"The Leader who had no title by Robin Sharma","Robin Sharma","Written as a modern business fable, the book follows Blake, who learns leadership through conversations with four unconventional mentors. Each encounter reveals principles showing that anyone, regardless of position or title, can lead. Robin Sharma argues that organizations thrive by fostering leadership at every level, with success rooted in taking responsibility, inspiring others, and leading through action.","https://www.goodreads.com/book/show/6881578-the-leader-who-had-no-title","Business, Self Help, Nonfiction","English","https://www.amazon.in/dp/8184951191"
"Tamarind City","Bishwanath Ghosh","Tamarind City is Bishwanath Ghosh's portrait of Chennai (formerly Madras), the city where modern India began. Wearing a reporter's cap, Ghosh explores its history, historic neighborhoods, and diverse residents, from a top vocalist to a sexologist, from a yoga teacher to a yesteryear film star. He shows how modern Indian institutions trace their roots to Fort St George, blending the city's colonial past with its contemporary life.","https://www.goodreads.com/book/show/13646472-tamarind-city","Nonfiction, Travel, India","English",""
"Sidney Sheldon - Tell me your dreams","Sidney Sheldon","Three beautiful young women are suspected in a series of brutal murders, leading to an arrest and one of the most bizarre murder trials of the century. Based on actual events, the novel races from London to Rome to Quebec to San Francisco. At its heart is Ashley Patterson, whose past holds the key to a stunning psychological mystery involving multiple personality disorder.","https://www.goodreads.com/book/show/43326.Tell_Me_Your_Dreams","Fiction, Thriller, Mystery","English","https://www.amazon.in/dp/8172234902"
"Arthamulla Hindu madham - Kavingnar Kannadasan","Kavingar Kannadasan","Arthamulla Indhu Matham (Meaningful Hindu Religion) is Kannadasan's most popular work, a multi-part series of essays on Hinduism. It offers an accessible elaboration of Hindu dharma, its religious practices, and the purpose behind various beliefs and rituals. The poet reflects on the meaning of Hindu religion as expressed through his own life and understanding.","https://www.goodreads.com/book/show/2586708-arthamulla-hindu-matham----volume-i","Nonfiction, Religion, Spirituality","Tamil",""
"Thaneer desam - Vairamuthu","Vairamuthu","Thaneer Desam is a poetic Tamil novel by lyricist Vairamuthu, originally serialized in Ananda Vikatan in 1996. It follows Kalaivannan and Tamilroja, whose romance unfolds against the sea during a journey with fishermen meant to cure her water phobia. When their boat breaks down, a brief excursion becomes a survival ordeal, and the author weaves in scientific facts about oceans and marine life, all expressed in modern verse.","https://www.goodreads.com/book/show/7465744","Fiction, Poetry, Romance","Tamil",""
"Harry Potter - Order of Phoenix","J.K. Rowling","The fifth installment in the Harry Potter series. It's official: the evil Lord Voldemort has returned. As Harry returns to Hogwarts, the Ministry of Magic refuses to believe the truth, installing the cruel Dolores Umbridge as a teacher and undermining Dumbledore. Facing institutional powerlessness and a door that haunts his dreams, Harry finds strength through friendship, loyalty, and sacrifice, and a secret group known as the Order of the Phoenix gathers to fight the Dark forces.","https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix","Fantasy, Fiction, Young Adult","English","https://www.amazon.in/dp/1408855690"
"The Almanack of Naval Ravikant","Eric Jorgenson","A collection of Naval Ravikant's wisdom and experience curated from a decade of his most insightful interviews and reflections. Naval is an entrepreneur, philosopher, and investor known for his principles on building wealth and creating long-term happiness. Rather than a step-by-step guide, the book uses Naval's own words to help readers walk their own path toward a happier, wealthier life, covering wealth, happiness, decisions, learning, reading, and judgment.","https://www.goodreads.com/book/show/54898389-the-almanack-of-naval-ravikant","Nonfiction, Business, Self Help","English","https://www.amazon.in/dp/9354893899"
"The Art of Thinking Clearly","Rolf Dobelli","In 99 short chapters, Rolf Dobelli reveals the most common errors of judgment and cognitive biases, and how to avoid them. Covering topics from the sunk cost fallacy to confirmation bias, the book offers simple, clear, and often surprising insights into how the mind works. It aims to transform decision-making at work, at home, and in everyday life, helping readers lead a more rational, less error-prone life.","https://www.goodreads.com/book/show/16248196-the-art-of-thinking-clearly","Nonfiction, Psychology, Self Help","English","https://www.amazon.in/dp/1444759566"
"The Culture Map","Erin Meyer","Erin Meyer provides a field-tested model for decoding how cultural differences impact international business. The book focuses on eight scales where cultures diverge: how people communicate, evaluate, persuade, lead, decide, trust, disagree, and schedule. Combining an analytical framework with practical, actionable advice, it helps managers and professionals navigate the invisible boundaries of global business and work effectively across cultures.","https://www.goodreads.com/book/show/22085568-the-culture-map","Nonfiction, Business, Psychology","English",""
"A Wild Sheep Chase","Haruki Murakami","A surreal and elaborate quest that takes readers from Tokyo to the remote mountains of northern Japan. An advertising executive casually uses a photograph sent by a friend, unaware it contains a mutant sheep with a star on its back. This unwittingly draws the attention of a menacing figure who demands he find the sheep or face dire consequences, sending the unnamed protagonist on a strange journey to confront his demons. It is the third book in the Trilogy of the Rat.","https://www.goodreads.com/book/show/11275.A_Wild_Sheep_Chase","Fiction, Fantasy, Magical Realism","English",""
"The Satvic Revolution","Subah Jain","A practical guide to achieving peak health, increased energy, optimal weight, and a calm mindset amidst chaos. Written by Subah and Harshvardhan Saraf, co-founders of the Satvic Movement who healed themselves of chronic diseases through natural health wisdom, the book presents seven life-changing habits drawn from both ancient wisdom and modern science. The first four habits elevate physical health, while the last three address the often-overlooked mental and spiritual dimensions of wellbeing.","https://www.goodreads.com/book/show/215544807-the-satvic-revolution","Nonfiction, Health, Self Help","English",""
"Guru Vivekanandar","S. Janakiraman","A concise portrayal of Swami Vivekananda's life, teachings, and spiritual influence, highlighting how his ideas shaped modern Indian thought and youth inspiration.","","Biography / Spirituality","English",""
"Iyarkai velanmai","Nammalvar","A practical guide to natural farming methods rooted in ecological balance, focusing on soil health, organic practices, and sustainable cultivation techniques for farmers.","","Agriculture / Ecology / Sustainability","Tamil",""
"Selva Dhaniyangal","S. Jayakumar","Explores the nutritional value of traditional grains and millets, emphasizing their role in wholesome diets, disease prevention, and revival of native food habits.","","Health / Nutrition","Tamil",""
"Mupporul","Thirumuruga Kirubananda Variyar Swamigal","A detailed explanation of the three core concepts in Tamil moral philosophy—God, Guru, and Self—presented through stories, commentary, and ethical teachings.","","Philosophy / Tamil Literature","Tamil",""
"Marabu Kalvi","Suki Sivam","Highlights traditional Tamil learning principles, drawing from ancient wisdom to discuss values, character formation, and holistic educational ideals.","","Culture / Education / Tamil Literature","Tamil",""
